"","id","name","year","minplayers","maxplayers","suggested_num_players","playingtime","minplaytime","maxplaytime","minage","mechanic","numratings","average","bayesaverage","stddev","owned","trading","wanting","wishing","numcomments","numweights","averageweight","Childrens.Game","Ancient","Animals","Bluffing","Card.Game","City.Building","Civilization","Collectible.Components","Comic.BookStrip","Deduction.x","Dice","Economic","Educational","Exploration","Fantasy","Fighting","Horror","Humor","Medieval","Memory.x","Miniatures","Modern.Warfare","MoviesTVRadio.theme","Nautical","Negotiation.x","Party.Game","Political","Print...Play","Puzzle","Racing","Real.time","Science.Fiction","Sports","Territory.Building","Trains","Trivia","Wargame","Word.Game","World.War.II","Card.Drafting","Cooperative.Game","Deck","Dice.Rolling","Events","Grid.Movement","Hand.Management","Hexagon.Grid","Memory.y","Modular.Board","Movement.Points","Network.and.Route.Building","Paper.and.Pencil","Pattern.Building","Pattern.Recognition","Pick.up.and.Deliver","Player.Elimination","Point.to.Point.Movement","Push.Your.Luck","Role.Playing","RollSpin.and.Move","Secret.Unit.Deployment","Set.Collection","Simulation","Simultaneous.Action.Selection","SoloSolitaire.Game","Storytelling","Take.That","Team.Based.Game","Tile.Placement","Trading","Trick.taking","Variable.Player.Powers","Voting","Worker.Placement","category.cluster","mechanic.cluster","category.cluster.kmed","mechanic.cluster.kmed"
"1145",1545,"Flowerpower",2001,1,2,2,30,30,30,8,"Area MajorityInfluence, Tile Placement",711,6.55966,5.81408,1.33185,807,18,191,328,314,69,1.4638,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"1","1","2","4"
"1247",1690,"Unexploded Cow",2001,2,6,4,25,25,25,12,"Dice Rolling, Set Collection",1749,6.0756,5.75714,1.51492,3661,133,21,150,545,147,1.3673,"0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"4","3","3","3"
"1257",1701,"Toscana",2001,2,2,2,20,20,20,10,"Tile Placement",373,5.66343,5.52891,1.34003,744,60,10,25,126,27,1.5556,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"2","1","2","4"
"1300",1771,"Cosmic Coasters",2001,2,4,2,10,10,10,10,"Variable Player Powers",203,5.19916,5.45937,1.54505,530,25,8,26,101,18,1.2222,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"3","1","2","4"
"1319",1799,"Warlord: Saga of the Storm",2001,2,4,2,10,10,10,10,"",398,6.8306,5.71799,1.6961,637,68,26,78,152,41,2.7073,"0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3","1","1","4"
"1324",1806,"The Piggyback Brigade",2001,2,7,5,25,15,25,4,"Dice Rolling",392,6.09645,5.60615,1.45941,685,23,24,66,184,43,1.0465,"1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","3","6","3"
"1332",1821,"Grant Takes Command",2001,2,2,2,120,120,120,12,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, ScenarioMissionCampaign Game, Simulation",264,7.96389,5.81693,1.39074,839,3,61,162,119,50,3.7,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","3","2","3"
"1333",1822,"Wilderness War",2001,2,2,2,180,180,180,12,"CampaignBattle Card Driven, Dice Rolling, Point to Point Movement",1735,7.71027,6.58528,1.32809,4015,115,184,690,785,221,3.2941,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5","3","4","3"
"1338",1829,"Risk 2210 A.D.",2001,2,5,4,240,240,240,10,"Area MajorityInfluence, Area Movement, AuctionBidding, Dice Rolling, Variable Player Powers",6859,6.69129,6.33997,1.51284,12087,638,91,524,1975,603,2.7197,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"5","3","4","3"
"1361",1877,"Pig Pile",2001,3,6,4,30,30,30,7,"",396,5.62162,5.52054,1.64311,628,29,5,29,172,43,1.1628,"1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","1","4"
